Match ID,Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Total Maps Played,Winner
1,Champions Tour 2024: Americas Kickoff,NRG Esports,FURIA,2024-02-16 17:00:00,Bo3,"[{'Team': 'FUR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FUR', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'NRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",2,NRG Esports
2,Champions Tour 2024: Americas Kickoff,Cloud9,MIBR,2024-02-16 20:00:00,Bo3,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",3,Cloud9
3,Champions Tour 2024: Americas Kickoff,LOUD,Sentinels,2024-02-17 17:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,LOUD
4,Champions Tour 2024: Americas Kickoff,LEVIATÁN,100 Thieves,2024-02-17 19:35:00,Bo3,"[{'Team': '100T', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': '100T', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Split'}, {'Team': '100T', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",3,LEVIATÁN
5,Champions Tour 2024: Americas Kickoff,KRÜ Esports,G2 Esports,2024-02-18 17:00:00,Bo3,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",3,G2 Esports
6,Champions Tour 2024: Americas Kickoff,FURIA,MIBR,2024-02-19 17:00:00,Bo3,"[{'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'FUR', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",2,MIBR
7,Champions Tour 2024: Americas Kickoff,Sentinels,100 Thieves,2024-02-19 19:45:00,Bo3,"[{'Team': '100T', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': '100T', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Bind'}, {'Team': '100T', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",3,Sentinels
8,Champions Tour 2024: Americas Kickoff,NRG Esports,Cloud9,2024-02-23 17:00:00,Bo3,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'NRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",2,NRG Esports
9,Champions Tour 2024: Americas Kickoff,LOUD,LEVIATÁN,2024-02-23 19:25:00,Bo3,"[{'Team': 'LEV', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",3,LOUD
10,Champions Tour 2024: Americas Kickoff,G2 Esports,Evil Geniuses,2024-02-24 17:00:00,Bo3,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",2,Evil Geniuses
11,Champions Tour 2024: Americas Kickoff,Cloud9,MIBR,2024-02-25 15:00:00,Bo3,"[{'Team': 'C9', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'C9', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'C9', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,MIBR
12,Champions Tour 2024: Americas Kickoff,LEVIATÁN,Sentinels,2024-02-25 17:40:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LEV', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LEV', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",3,Sentinels
13,Champions Tour 2024: Americas Kickoff,G2 Esports,KRÜ Esports,2024-02-25 20:55:00,Bo3,"[{'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'KRÜ', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'KRÜ', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",2,G2 Esports
14,Champions Tour 2024: Americas Kickoff,MIBR,Sentinels,2024-02-26 15:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,Sentinels
15,Champions Tour 2024: Americas Kickoff,G2 Esports,MIBR,2024-02-26 17:10:00,Bo3,"[{'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'MIBR', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'MIBR', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",3,MIBR
16,Champions Tour 2024: Americas Kickoff,Sentinels,G2 Esports,2024-02-26 20:55:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'G2', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'G2', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",3,G2 Esports
17,Champions Tour 2024: Americas Kickoff,Evil Geniuses,LOUD,2024-03-02 17:00:00,Bo3,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'EG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'EG', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",3,LOUD
18,Champions Tour 2024: Americas Kickoff,NRG Esports,Sentinels,2024-03-02 20:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'NRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",3,Sentinels
19,Champions Tour 2024: Americas Kickoff,LOUD,Sentinels,2024-03-03 17:00:00,Bo5,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",5,Sentinels
20,Champions Tour 2024: Pacific Kickoff,T1,BLEED,2024-02-17 01:00:00,Bo3,"[{'Team': 'BLD', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'BLD', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",2,T1
21,Champions Tour 2024: Pacific Kickoff,Gen.G,Rex Regum Qeon,2024-02-17 08:45:00,Bo3,"[{'Team': 'RRQ', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'RRQ', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",3,Gen.G
22,Champions Tour 2024: Pacific Kickoff,ZETA DIVISION,Global Esports,2024-02-18 01:00:00,Bo3,"[{'Team': 'GE', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GE', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,ZETA DIVISION
23,Champions Tour 2024: Pacific Kickoff,Team Secret,Talon Esports,2024-02-18 03:30:00,Bo3,"[{'Team': 'TLN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,Talon Esports
24,Champions Tour 2024: Pacific Kickoff,DRX,DetonatioN FocusMe,2024-02-18 05:30:00,Bo3,"[{'Team': 'DFM', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'DFM', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DFM', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]",2,DRX
25,Champions Tour 2024: Pacific Kickoff,Gen.G,Paper Rex,2024-02-19 01:00:00,Bo3,"[{'Team': 'GEN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",3,Paper Rex
26,Champions Tour 2024: Pacific Kickoff,BLEED,Global Esports,2024-02-19 04:15:00,Bo3,"[{'Team': 'GE', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GE', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'BLD', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",3,Global Esports
27,Champions Tour 2024: Pacific Kickoff,T1,ZETA DIVISION,2024-02-19 08:00:00,Bo3,"[{'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",3,T1
28,Champions Tour 2024: Pacific Kickoff,DetonatioN FocusMe,Team Secret,2024-02-20 03:00:00,Bo3,"[{'Team': 'DFM', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'DFM', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DFM', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",2,Team Secret
29,Champions Tour 2024: Pacific Kickoff,DRX,Talon Esports,2024-02-20 05:20:00,Bo3,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",2,DRX
30,Champions Tour 2024: Pacific Kickoff,Gen.G,Rex Regum Qeon,2024-02-21 01:00:00,Bo3,"[{'Team': 'RRQ', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'RRQ', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",3,Gen.G
31,Champions Tour 2024: Pacific Kickoff,Talon Esports,Team Secret,2024-02-21 04:30:00,Bo3,"[{'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",2,Team Secret
32,Champions Tour 2024: Pacific Kickoff,ZETA DIVISION,Global Esports,2024-02-21 07:15:00,Bo3,"[{'Team': 'GE', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GE', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,ZETA DIVISION
33,Champions Tour 2024: Pacific Kickoff,Team Secret,Gen.G,2024-02-22 01:00:00,Bo3,"[{'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",3,Gen.G
34,Champions Tour 2024: Pacific Kickoff,ZETA DIVISION,Team Secret,2024-02-22 04:20:00,Bo3,"[{'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",2,Team Secret
35,Champions Tour 2024: Pacific Kickoff,Gen.G,ZETA DIVISION,2024-02-22 06:30:00,Bo3,"[{'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",2,Gen.G
36,Champions Tour 2024: Pacific Kickoff,T1,Paper Rex,2024-02-24 03:00:00,Bo3,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,Paper Rex
37,Champions Tour 2024: Pacific Kickoff,DRX,Gen.G,2024-02-24 05:25:00,Bo3,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",2,Gen.G
38,Champions Tour 2024: Pacific Kickoff,Paper Rex,Gen.G,2024-02-25 03:00:00,Bo5,"[{'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",4,Gen.G
39,Champions Tour 2024: EMEA Kickoff,FUT Esports,Team Heretics,2024-02-20 11:00:00,Bo3,"[{'Team': 'TH', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'FUT', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'FUT', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'FUT', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]",2,Team Heretics
40,Champions Tour 2024: EMEA Kickoff,GIANTX,Karmine Corp,2024-02-20 13:35:00,Bo3,"[{'Team': 'KC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'KC', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'GX', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'KC', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",3,Karmine Corp
41,Champions Tour 2024: EMEA Kickoff,Natus Vincere,BBL Esports,2024-02-21 08:00:00,Bo3,"[{'Team': 'NAVI', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'BBL', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NAVI', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'BBL', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'NAVI', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'BBL', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",3,Natus Vincere
42,Champions Tour 2024: EMEA Kickoff,Team Liquid,KOI,2024-02-21 11:00:00,Bo3,"[{'Team': 'TL', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'KOI', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'TL', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'KOI', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'TL', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'KOI', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",2,Team Liquid
43,Champions Tour 2024: EMEA Kickoff,Team Vitality,Gentle Mates,2024-02-21 13:45:00,Bo3,"[{'Team': 'VIT', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'M8', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'VIT', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'M8', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'VIT', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'M8', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",2,Team Vitality
44,Champions Tour 2024: EMEA Kickoff,Team Heretics,Karmine Corp,2024-02-22 11:00:00,Bo3,"[{'Team': 'KC', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'KC', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'KC', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",2,Team Heretics
45,Champions Tour 2024: EMEA Kickoff,FUT Esports,GIANTX,2024-02-22 13:10:00,Bo3,"[{'Team': 'GX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FUT', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GX', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'FUT', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'GX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FUT', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",3,FUT Esports
